Time,Open,High,Low,Close,Qty,Number,VWAP
2023-05-14 07:12:00,0.212,0.212,0.2118,0.2118,1732.0,6,0.21195981524249422
2023-05-14 07:13:00,0.2119,0.2119,0.2119,0.2119,3980.0,3,0.21190000000000003
2023-05-14 07:14:00,,,,,0.0,0,
2023-05-14 07:15:00,0.2119,0.2119,0.2118,0.2118,751.0,3,0.21181584553928096
2023-05-14 07:16:00,0.2119,0.2119,0.2119,0.2119,100.0,1,0.2119
2023-05-14 07:17:00,,,,,0.0,0,
2023-05-14 07:18:00,,,,,0.0,0,
2023-05-14 07:19:00,,,,,0.0,0,
2023-05-14 07:20:00,0.2117,0.2117,0.2117,0.2117,4117.0,10,0.2117
2023-05-14 07:21:00,,,,,0.0,0,
2023-05-14 07:22:00,,,,,0.0,0,
2023-05-14 07:23:00,,,,,0.0,0,
2023-05-14 07:24:00,,,,,0.0,0,
2023-05-14 07:25:00,0.2118,0.2118,0.2118,0.2118,979.0,3,0.2118
2023-05-14 07:26:00,,,,,0.0,0,
2023-05-14 07:27:00,0.2117,0.2117,0.2117,0.2117,119.0,1,0.2117
2023-05-14 07:28:00,,,,,0.0,0,
2023-05-14 07:29:00,,,,,0.0,0,
2023-05-14 07:30:00,0.2117,0.2117,0.2117,0.2117,845.0,5,0.21170000000000003
2023-05-14 07:31:00,0.2118,0.2118,0.2118,0.2118,617.0,2,0.2118
2023-05-14 07:32:00,0.2117,0.2117,0.2117,0.2117,119.0,1,0.2117
2023-05-14 07:33:00,,,,,0.0,0,
2023-05-14 07:34:00,,,,,0.0,0,
2023-05-14 07:35:00,,,,,0.0,0,
2023-05-14 07:36:00,,,,,0.0,0,
2023-05-14 07:37:00,0.2117,0.2117,0.2117,0.2117,50.0,1,0.21170000000000003
2023-05-14 07:38:00,,,,,0.0,0,
2023-05-14 07:39:00,,,,,0.0,0,
2023-05-14 07:40:00,0.2117,0.2117,0.2117,0.2117,120.0,1,0.2117
2023-05-14 07:41:00,0.2118,0.2118,0.2118,0.2118,337.0,3,0.2118
2023-05-14 07:42:00,0.2118,0.2119,0.2118,0.2118,1015.0,3,0.2118077832512315
2023-05-14 07:43:00,0.2118,0.2118,0.2118,0.2118,462.0,2,0.2118
2023-05-14 07:44:00,,,,,0.0,0,
2023-05-14 07:45:00,,,,,0.0,0,
2023-05-14 07:46:00,,,,,0.0,0,
2023-05-14 07:47:00,,,,,0.0,0,
2023-05-14 07:48:00,0.2116,0.2116,0.2116,0.2116,200.0,1,0.2116
2023-05-14 07:49:00,,,,,0.0,0,
2023-05-14 07:50:00,0.2117,0.2117,0.2117,0.2117,772.0,2,0.2117
2023-05-14 07:51:00,,,,,0.0,0,
2023-05-14 07:52:00,,,,,0.0,0,
2023-05-14 07:53:00,,,,,0.0,0,
2023-05-14 07:54:00,0.2117,0.2118,0.2117,0.2117,2303.0,6,0.2117409900130265
2023-05-14 07:55:00,,,,,0.0,0,
2023-05-14 07:56:00,0.2116,0.2117,0.2116,0.2117,1618.0,4,0.21166792336217552
2023-05-14 07:57:00,0.2118,0.2118,0.2118,0.2118,4638.0,5,0.2118
2023-05-14 07:58:00,0.2119,0.2119,0.2119,0.2119,1011.0,1,0.2119
2023-05-14 07:59:00,0.2119,0.2119,0.2119,0.2119,6673.0,5,0.21189999999999998
2023-05-14 08:00:00,0.2117,0.2118,0.2117,0.2118,3211.0,6,0.21171037060105888
2023-05-14 08:01:00,0.2118,0.212,0.2118,0.212,7354.0,22,0.21191966276856133
2023-05-14 08:02:00,0.2119,0.2119,0.2119,0.2119,120.0,1,0.2119
2023-05-14 08:03:00,0.2118,0.2118,0.2116,0.2116,239.0,2,0.21170041841004186
2023-05-14 08:04:00,,,,,0.0,0,
2023-05-14 08:05:00,0.2117,0.2117,0.2117,0.2117,120.0,1,0.2117
2023-05-14 08:06:00,,,,,0.0,0,
2023-05-14 08:07:00,0.2116,0.2116,0.2116,0.2116,212.0,2,0.2116
2023-05-14 08:08:00,,,,,0.0,0,
2023-05-14 08:09:00,0.2116,0.2117,0.2116,0.2117,20796.0,20,0.21160016830159648
2023-05-14 08:10:00,0.2115,0.2115,0.2115,0.2115,501.0,2,0.2115
2023-05-14 08:11:00,,,,,0.0,0,
2023-05-14 08:12:00,0.2117,0.2117,0.2117,0.2117,94.0,1,0.2117
2023-05-14 08:13:00,0.2115,0.2115,0.2115,0.2115,229.0,1,0.21150000000000002
2023-05-14 08:14:00,0.2116,0.2116,0.2116,0.2116,120.0,1,0.21159999999999998
